IP address,Port,TLS,Data Center,Region,City,Network Latency,Download Speed
47.251.33.121,443,true,AMS,Europe,Amsterdam,20 ms,8402 kB/s
8.219.60.212,443,true,AMS,Europe,Amsterdam,41 ms,8035 kB/s
8.222.203.46,443,true,AMS,Europe,Amsterdam,13 ms,7458 kB/s
8.219.91.136,443,true,AMS,Europe,Amsterdam,43 ms,7369 kB/s
8.219.121.47,443,true,AMS,Europe,Amsterdam,47 ms,7359 kB/s
8.222.143.175,443,true,AMS,Europe,Amsterdam,9 ms,7138 kB/s
8.210.58.6,443,true,AMS,Europe,Amsterdam,45 ms,6799 kB/s
47.88.15.127,443,true,AMS,Europe,Amsterdam,35 ms,6745 kB/s
8.219.125.236,443,true,AMS,Europe,Amsterdam,39 ms,6721 kB/s
8.219.200.24,443,true,AMS,Europe,Amsterdam,16 ms,6691 kB/s
8.222.194.34,443,true,AMS,Europe,Amsterdam,10 ms,6657 kB/s
8.219.204.67,443,true,AMS,Europe,Amsterdam,47 ms,6402 kB/s
8.219.88.53,443,true,AMS,Europe,Amsterdam,14 ms,6402 kB/s
8.219.185.47,443,true,AMS,Europe,Amsterdam,47 ms,6380 kB/s
8.219.110.215,443,true,AMS,Europe,Amsterdam,25 ms,6330 kB/s
8.219.186.60,443,true,AMS,Europe,Amsterdam,21 ms,6273 kB/s
47.245.121.76,443,true,AMS,Europe,Amsterdam,3 ms,6243 kB/s
8.219.206.141,443,true,AMS,Europe,Amsterdam,51 ms,6113 kB/s
8.219.247.185,443,true,AMS,Europe,Amsterdam,23 ms,6093 kB/s
8.222.146.215,443,true,AMS,Europe,Amsterdam,41 ms,6092 kB/s
8.219.162.235,443,true,AMS,Europe,Amsterdam,42 ms,6086 kB/s
8.219.113.197,443,true,AMS,Europe,Amsterdam,15 ms,6042 kB/s
8.219.201.154,443,true,AMS,Europe,Amsterdam,41 ms,6031 kB/s
47.90.141.204,443,true,AMS,Europe,Amsterdam,15 ms,5964 kB/s
8.219.207.74,443,true,AMS,Europe,Amsterdam,20 ms,5961 kB/s
8.219.4.57,443,true,AMS,Europe,Amsterdam,8 ms,5952 kB/s
8.219.238.158,443,true,AMS,Europe,Amsterdam,15 ms,5922 kB/s
8.219.113.184,443,true,AMS,Europe,Amsterdam,40 ms,5881 kB/s
8.219.140.176,443,true,AMS,Europe,Amsterdam,19 ms,5758 kB/s
8.219.123.185,443,true,AMS,Europe,Amsterdam,41 ms,5729 kB/s
8.219.69.174,443,true,AMS,Europe,Amsterdam,20 ms,5728 kB/s
8.219.58.86,443,true,AMS,Europe,Amsterdam,49 ms,5685 kB/s
8.219.192.170,443,true,AMS,Europe,Amsterdam,43 ms,5639 kB/s
8.219.141.219,443,true,AMS,Europe,Amsterdam,17 ms,5596 kB/s
8.218.73.41,443,true,AMS,Europe,Amsterdam,18 ms,5584 kB/s
8.219.123.185,443,true,AMS,Europe,Amsterdam,44 ms,5529 kB/s
8.219.80.15,443,true,AMS,Europe,Amsterdam,10 ms,5513 kB/s
8.219.192.170,443,true,AMS,Europe,Amsterdam,9 ms,5502 kB/s
8.219.55.66,443,true,AMS,Europe,Amsterdam,18 ms,5460 kB/s
8.219.62.150,443,true,AMS,Europe,Amsterdam,19 ms,5455 kB/s
8.219.97.13,443,true,AMS,Europe,Amsterdam,18 ms,5433 kB/s
8.219.90.83,443,true,AMS,Europe,Amsterdam,42 ms,5404 kB/s
8.219.240.65,443,true,AMS,Europe,Amsterdam,26 ms,5388 kB/s
8.219.200.24,443,true,AMS,Europe,Amsterdam,43 ms,5384 kB/s
8.219.60.21,443,true,AMS,Europe,Amsterdam,29 ms,5378 kB/s
